customer_id,customer_hk,first_name,last_name,full_name,gender,birth_date,age,age_group,country,city,customer_segment,loyalty_tier,signup_date,preferred_channel,days_since_signup,valid_from,snapshot_date
CUST0001,e5a4f232bcd145c79aa714129898e67cfb3a7e9ad0e45c16c827834ce75acd22,Mariam,Ouattara,Mariam Ouattara,F,1969-09-04,56,55+,Senegal,Dakar,Standard,Gold,2023-08-08,Web,512,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0002,c09d8b51038a17dcdbb5b93de00435d2ab50711170516f70713083463c1679f7,Amadou,Ouattara,Amadou Ouattara,F,1980-02-18,45,45-54,Côte d'Ivoire,Bouaké,Budget,Explorer,2023-08-17,Web,503,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0003,b1aa559983e9a962ecf0099b4f31c4569b79ed9f979c2a049631cc242d340fdb,Didier,Ouattara,Didier Ouattara,F,1979-01-18,46,45-54,France,Paris,Standard,None,2023-05-01,Travel Agency,611,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0004,706af2dde6ca5c8956cd9f96325b57b4d23e2cc6bed1aa62a3a31e068a1413ed,Aminata,Diallo,Aminata Diallo,F,1977-06-04,48,45-54,France,Paris,Standard,Explorer,2024-05-23,Corporate Desk,223,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0005,22dcae22542cc299f8e4eb7b0d34b379a6a7abdbf24a95539916a37a14c48055,Nadia,Ndiaye,Nadia Ndiaye,M,1988-05-08,37,35-44,Senegal,Dakar,Business,None,2024-08-11,Travel Agency,143,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0006,c844eda324f3cf3f493b627de340ed1598bda92667a2ac9b966ee92c25f3f72b,Nadia,Amani,Nadia Amani,M,1983-10-03,42,35-44,France,Paris,Standard,None,2023-12-17,Mobile App,381,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0007,2899284fc817d0f68bd5aa0ae3d67cda25b3462540ad9150e8ca566bd553c8fb,Amadou,Konan,Amadou Konan,F,2000-10-26,25,25-34,Nigeria,Lagos,Standard,Explorer,2024-05-23,Corporate Desk,223,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0008,bfc6f8b4b7ef7cbc49acaef2914d5c9540ec7a5dd1b618f08547aa45fc95af83,Koffi,Mensah,Koffi Mensah,M,1969-01-24,56,55+,Côte d'Ivoire,Yamoussoukro,Standard,Explorer,2024-11-28,Corporate Desk,34,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0009,fcaf79710767ce7358022a1cc3682f6f84086ecba67c49b2345978f03b7a3fef,Serge,Ouattara,Serge Ouattara,M,1966-08-12,59,55+,Senegal,Dakar,Standard,Explorer,2023-08-12,Travel Agency,508,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
CUST0010,f3b55882ee2aa18d6008578ca50b720303774443fc692eb6ee57b1f56136802b,Serge,Kouassi,Serge Kouassi,M,1990-08-03,35,35-44,Ghana,Accra,Standard,Explorer,2023-05-21,Corporate Desk,591,2026-05-25 09:39:38.626811,2026-05-25 09:39:38.779183
