customer_id,customer_hk,full_name,gender,birth_date,age,age_group,country,city,customer_segment,loyalty_tier,signup_date,days_since_signup,preferred_channel,total_bookings,flown_bookings,no_show_count,changed_count,distinct_routes_flown,first_booking_date,last_booking_date,preferred_booking_channel,preferred_fare_class,avg_lead_time_days,total_ltv_usd,total_ticket_revenue,total_ancillary_revenue,avg_ticket_price_usd,avg_ancillary_usd,no_show_rate,ancillary_attach_rate,is_repeat_customer,days_since_last_booking,total_points_earned,total_points_redeemed,loyalty_balance,tier_upgrades,tier_downgrades,points_expiry_events,last_loyalty_event_date,loyalty_redemption_rate,avg_sentiment_score,avg_flight_rating,sentiment_signal_count,frequency_label,value_label,recency_label,_vault_snapshot_date,_obt_loaded_at
CUST0001,e5a4f232bcd145c79aa714129898e67cfb3a7e9ad0e45c16c827834ce75acd22,Mariam Ouattara,F,1969-09-04,56,55+,Senegal,Dakar,Standard,Gold,2023-08-08,512,Web,41,35,2,1,12,2024-11-06,2025-01-24,Corporate Desk,ECONOMY,33.09756097560975,19884.61,19056.61,828.0,464.79536585365855,20.195121951219512,0.0488,0.8293,1,341,0,0,0,0,0,0,,,-0.6153846153846154,2.5,19,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0002,c09d8b51038a17dcdbb5b93de00435d2ab50711170516f70713083463c1679f7,Amadou Ouattara,F,1980-02-18,45,45-54,Côte d'Ivoire,Bouaké,Budget,Explorer,2023-08-17,503,Web,34,27,0,1,11,2024-11-08,2025-01-22,Web,ECONOMY,28.147058823529413,13874.02,13160.02,714.0,387.0594117647059,21.0,0.0,0.8529,1,343,0,0,0,0,0,0,,,-0.5,3.0,11,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0003,b1aa559983e9a962ecf0099b4f31c4569b79ed9f979c2a049631cc242d340fdb,Didier Ouattara,F,1979-01-18,46,45-54,France,Paris,Standard,None,2023-05-01,611,Travel Agency,39,30,4,1,10,2024-11-08,2025-01-20,Web,ECONOMY,31.23076923076923,16923.59,16191.59,732.0,415.16897435897437,18.76923076923077,0.1026,0.7949,1,345,0,0,0,0,0,0,,,-0.7563846153846154,3.0,17,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0004,706af2dde6ca5c8956cd9f96325b57b4d23e2cc6bed1aa62a3a31e068a1413ed,Aminata Diallo,F,1977-06-04,48,45-54,France,Paris,Standard,Explorer,2024-05-23,223,Corporate Desk,39,33,0,0,12,2024-11-19,2025-01-17,Travel Agency,ECONOMY,26.871794871794872,12020.460000000003,11264.460000000001,756.0,288.8323076923077,19.384615384615383,0.0,0.7692,1,348,0,0,0,0,0,0,,,-0.8,3.0,18,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0005,22dcae22542cc299f8e4eb7b0d34b379a6a7abdbf24a95539916a37a14c48055,Nadia Ndiaye,M,1988-05-08,37,35-44,Senegal,Dakar,Business,None,2024-08-11,143,Travel Agency,37,31,1,3,12,2024-11-02,2025-01-22,Web,ECONOMY,32.24324324324324,16498.780000000002,15748.780000000002,750.0,425.64270270270276,20.27027027027027,0.027,0.8649,1,343,0,0,0,0,0,0,,,-0.75,4.0,8,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0006,c844eda324f3cf3f493b627de340ed1598bda92667a2ac9b966ee92c25f3f72b,Nadia Amani,M,1983-10-03,42,35-44,France,Paris,Standard,None,2023-12-17,381,Mobile App,40,33,1,1,11,2024-11-08,2025-01-25,Travel Agency,ECONOMY,33.75,13744.529999999999,12808.529999999999,936.0,320.21324999999996,23.4,0.025,0.8,1,340,0,0,0,0,0,0,,,-0.5416666666666666,2.75,14,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0007,2899284fc817d0f68bd5aa0ae3d67cda25b3462540ad9150e8ca566bd553c8fb,Amadou Konan,F,2000-10-26,25,25-34,Nigeria,Lagos,Standard,Explorer,2024-05-23,223,Corporate Desk,43,32,2,1,11,2024-11-04,2025-01-14,Corporate Desk,ECONOMY,35.46511627906977,21803.680000000004,20801.680000000008,1002.0,483.76000000000016,23.302325581395348,0.0465,0.8372,1,351,0,0,0,0,0,0,,,-0.7272727272727273,4.5,13,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0008,bfc6f8b4b7ef7cbc49acaef2914d5c9540ec7a5dd1b618f08547aa45fc95af83,Koffi Mensah,M,1969-01-24,56,55+,Côte d'Ivoire,Yamoussoukro,Standard,Explorer,2024-11-28,34,Corporate Desk,43,32,5,1,10,2024-11-14,2025-01-25,Mobile App,ECONOMY,27.3953488372093,17714.960000000003,16898.960000000003,816.0,392.99906976744194,18.976744186046513,0.1163,0.8605,1,340,0,0,0,0,0,0,,,-0.8431176470588235,2.9,22,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0009,fcaf79710767ce7358022a1cc3682f6f84086ecba67c49b2345978f03b7a3fef,Serge Ouattara,M,1966-08-12,59,55+,Senegal,Dakar,Standard,Explorer,2023-08-12,508,Travel Agency,30,25,0,0,11,2024-11-12,2025-01-22,Mobile App,ECONOMY,30.6,11240.21,10622.21,618.0,354.0736666666666,20.6,0.0,0.8333,1,343,0,0,0,0,0,0,,,-0.7142857142857143,3.25,16,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
CUST0010,f3b55882ee2aa18d6008578ca50b720303774443fc692eb6ee57b1f56136802b,Serge Kouassi,M,1990-08-03,35,35-44,Ghana,Accra,Standard,Explorer,2023-05-21,591,Corporate Desk,25,22,0,1,10,2024-11-07,2025-01-23,Mobile App,ECONOMY,32.12,7523.280000000001,6995.28,528.0,279.8112,21.12,0.0,0.84,1,342,0,0,0,0,0,0,,,-0.5,5.0,7,Très fidèle,High-value,Dormant,2026-05-25 09:39:38.779183,2026-05-25 11:30:19.12645+00
