customer_id,full_name,customer_segment,loyalty_tier,preferred_channel,country,age_group,total_bookings,avg_ticket_price,avg_ancillary,total_ticket_rev,total_ancillary_rev,economy_bookings,business_bookings,avg_bags,bookings_no_seat,intl_bookings,intl_no_seat,upsell_class,upsell_baggage,upsell_seat,upsell_fare_family,upsell_ancillary,crosssell_loyalty,upsell_score,opportunity_count,action_segment,primary_action
CUST0088,Fatou Mensah,Budget,None,Mobile App,Senegal,35-44,37,319.3459459459459,23.513513513513512,11815.8,870.0,34,0,1.0,17,6,1,Upgrade Premium Economy — volume Economy élevé,Bagage supplémentaire — vols internationaux,Siège prioritaire — vols internationaux non sélectionnés,,,Inscription loyalty — vole régulièrement sans programme,65,4,Priorité haute — action immédiate,Upgrade Premium Economy — volume Economy élevé
CUST0023,Awa Diallo,Business,Explorer,Mobile App,Ghana,45-54,38,284.1523684210526,21.157894736842106,10797.789999999999,804.0,34,0,1.0,14,2,1,Upgrade Premium Economy — volume Economy élevé,Bagage supplémentaire — vols internationaux,Siège prioritaire — vols internationaux non sélectionnés,,,Activation Silver — proche du seuil tier,65,4,Priorité haute — action immédiate,Upgrade Premium Economy — volume Economy élevé
CUST0247,Serge Kone,Standard,Explorer,Travel Agency,Benin,45-54,22,245.5090909090909,22.09090909090909,5401.2,486.0,20,0,1.0454545454545454,12,2,2,Upgrade Premium Economy — volume Economy élevé,Bagage supplémentaire — vols internationaux,Siège prioritaire — vols internationaux non sélectionnés,,,Activation Silver — proche du seuil tier,65,4,Priorité haute — action immédiate,Upgrade Premium Economy — volume Economy élevé
CUST0232,Yao Ouattara,Standard,None,Travel Agency,France,25-34,37,487.24135135135145,19.62162162162162,18027.930000000004,726.0,22,6,1.0,22,9,4,,Bagage supplémentaire — vols internationaux,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Inscription loyalty — vole régulièrement sans programme,60,4,Priorité haute — action immédiate,Bundle ancillaire — fort LTV mais peu d'ancillaires
CUST0123,Mariam Diallo,Standard,None,Web,France,55+,33,326.0327272727273,22.363636363636363,10759.080000000002,738.0,30,0,0.9393939393939394,23,5,3,Upgrade Premium Economy — volume Economy élevé,,Siège prioritaire — vols internationaux non sélectionnés,,,Inscription loyalty — vole régulièrement sans programme,50,3,Priorité haute — action immédiate,Upgrade Premium Economy — volume Economy élevé
CUST0168,Fatou Mensah,Standard,Explorer,Corporate Desk,Nigeria,25-34,43,515.9790697674418,17.162790697674417,22187.1,738.0,29,6,0.813953488372093,24,11,9,,,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Activation Silver — proche du seuil tier,45,3,Priorité moyenne — campagne ciblée,Bundle ancillaire — fort LTV mais peu d'ancillaires
CUST0287,Awa Konan,Budget,None,Mobile App,Nigeria,35-44,44,472.45454545454544,19.363636363636363,20788.0,852.0,27,11,0.9545454545454546,20,7,3,,,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Inscription loyalty — vole régulièrement sans programme,45,3,Priorité moyenne — campagne ciblée,Bundle ancillaire — fort LTV mais peu d'ancillaires
CUST0221,Jean Sow,Standard,None,Web,Benin,45-54,45,429.12911111111106,19.066666666666666,19310.809999999998,858.0,34,7,0.9555555555555556,28,8,5,,,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Inscription loyalty — vole régulièrement sans programme,45,3,Priorité moyenne — campagne ciblée,Bundle ancillaire — fort LTV mais peu d'ancillaires
CUST0296,Mariam Kone,Standard,Explorer,Mobile App,France,45-54,33,576.8827272727273,18.727272727272727,19037.13,618.0,21,7,0.9393939393939394,18,11,7,,,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Activation Silver — proche du seuil tier,45,3,Priorité moyenne — campagne ciblée,Bundle ancillaire — fort LTV mais peu d'ancillaires
CUST0144,Fatou Ouattara,Premium,Explorer,Travel Agency,Senegal,55+,38,494.1068421052632,19.57894736842105,18776.06,744.0,22,9,0.9473684210526315,20,8,4,,,Siège prioritaire — vols internationaux non sélectionnés,,Bundle ancillaire — fort LTV mais peu d'ancillaires,Activation Silver — proche du seuil tier,45,3,Priorité moyenne — campagne ciblée,Bundle ancillaire — fort LTV mais peu d'ancillaires
