customer_id;first_name;last_name;gender;birth_date;country;city;customer_segment;loyalty_tier;signup_date;preferred_channel
CUST0001;Mariam;Ouattara;F;1969-09-04;Senegal;Dakar;Standard;Gold;2023-08-08;Web
CUST0002;Amadou;Ouattara;F;1980-02-18;Côte d'Ivoire;Bouaké;Budget;Explorer;2023-08-17;Web
CUST0003;Didier;Ouattara;F;1979-01-18;France;Paris;Standard;None;2023-05-01;Travel Agency
CUST0004;Aminata;Diallo;F;1977-06-04;France;Paris;Standard;Explorer;2024-05-23;Corporate Desk
CUST0005;Nadia;Ndiaye;M;1988-05-08;Senegal;Dakar;Business;None;2024-08-11;Travel Agency
CUST0006;Nadia;Amani;M;1983-10-03;France;Paris;Standard;None;2023-12-17;Mobile App
CUST0007;Amadou;Konan;F;2000-10-26;Nigeria;Lagos;Standard;Explorer;2024-05-23;Corporate Desk
CUST0008;Koffi;Mensah;M;1969-01-24;Côte d'Ivoire;Yamoussoukro;Standard;Explorer;2024-11-28;Corporate Desk
CUST0009;Serge;Ouattara;M;1966-08-12;Senegal;Dakar;Standard;Explorer;2023-08-12;Travel Agency
CUST0010;Serge;Kouassi;M;1990-08-03;Ghana;Accra;Standard;Explorer;2023-05-21;Corporate Desk
CUST0011;Fatou;Ouattara;M;1989-04-05;France;Paris;Budget;None;2023-08-27;Web
CUST0012;Didier;Diallo;M;1983-01-05;Nigeria;Lagos;Standard;Explorer;2023-11-23;Mobile App
CUST0013;Bintou;Ndiaye;F;1994-11-26;Benin;Cotonou;Standard;Explorer;2024-05-08;Corporate Desk
CUST0014;Yao;Traore;F;1993-03-04;Côte d'Ivoire;Bouaké;Standard;None;2024-08-03;Mobile App
CUST0015;Koffi;Amani;F;1969-04-20;France;Paris;Budget;None;2023-12-22;Travel Agency
CUST0016;Koffi;Traore;M;1994-08-16;Nigeria;Lagos;Budget;None;2023-12-17;Travel Agency
CUST0017;Serge;Diallo;F;1978-09-12;Nigeria;Lagos;Business;Gold;2024-06-24;Travel Agency
CUST0018;Koffi;Mensah;M;1975-06-25;Benin;Cotonou;Standard;Silver;2023-12-04;Mobile App
CUST0019;Yao;Kouassi;M;1979-04-17;France;Paris;Standard;None;2023-01-29;Travel Agency
CUST0020;Fatou;Kouassi;M;1993-12-12;Nigeria;Lagos;Budget;None;2024-04-26;Mobile App
CUST0021;Yao;Kone;F;1995-11-12;Senegal;Dakar;Business;None;2024-02-02;Mobile App
CUST0022;Mariam;Ouattara;M;1970-12-13;Nigeria;Lagos;Standard;Gold;2023-06-12;Mobile App
CUST0023;Awa;Diallo;M;1974-10-27;Ghana;Accra;Business;Explorer;2024-07-15;Mobile App
CUST0024;Awa;Traore;F;1992-04-27;Côte d'Ivoire;Abidjan;Budget;None;2024-05-28;Mobile App
CUST0025;Jean;Mensah;M;1973-01-24;France;Paris;Business;Silver;2024-06-13;Corporate Desk
CUST0026;Mariam;Sow;F;1998-09-01;France;Paris;Business;Explorer;2023-06-03;Mobile App
CUST0027;Nadia;Ndiaye;F;2000-01-11;Ghana;Accra;Business;None;2024-07-27;Web
CUST0028;Yao;Mensah;F;1971-09-15;Ghana;Accra;Business;Gold;2024-03-29;Travel Agency
CUST0029;Bintou;Ndiaye;F;1982-08-17;France;Paris;Standard;None;2024-06-19;Travel Agency
CUST0030;Yao;Kone;F;1991-02-13;France;Paris;Standard;Silver;2024-03-14;Web
CUST0031;Aminata;Mensah;F;1974-12-21;Ghana;Accra;Budget;Gold;2024-04-23;Mobile App
CUST0032;Koffi;Ouattara;M;1975-11-27;Benin;Cotonou;Budget;Explorer;2024-06-11;Corporate Desk
CUST0033;Amadou;Kouassi;M;1985-02-24;Senegal;Dakar;Budget;Explorer;2024-03-27;Web
CUST0034;Jean;Sow;M;1997-02-04;Nigeria;Lagos;Premium;None;2023-09-29;Travel Agency
CUST0035;Mariam;Mensah;F;1992-11-27;Côte d'Ivoire;Bouaké;Standard;Explorer;2024-06-11;Corporate Desk
CUST0036;Jean;Traore;M;1968-12-06;Benin;Cotonou;Business;None;2023-01-18;Web
CUST0037;Koffi;Ndiaye;F;1969-05-28;Senegal;Dakar;Standard;None;2024-07-20;Corporate Desk
CUST0038;Didier;Diallo;F;1998-12-08;Senegal;Dakar;Premium;None;2023-07-05;Mobile App
CUST0039;Aminata;Mensah;F;1983-08-17;Senegal;Dakar;Standard;Silver;2023-09-14;Web
CUST0040;Awa;Sow;F;1997-08-08;Côte d'Ivoire;Bouaké;Budget;Silver;2024-03-18;Corporate Desk
CUST0041;Amadou;Sow;M;1978-04-11;France;Paris;Business;Silver;2024-10-13;Mobile App
CUST0042;Jean;Konan;F;1965-02-21;Nigeria;Lagos;Standard;None;2024-11-12;Corporate Desk
CUST0043;Aminata;Mensah;F;1983-01-15;France;Paris;Budget;Explorer;2023-09-27;Travel Agency
CUST0044;Bintou;Amani;F;1967-05-07;Senegal;Dakar;Budget;None;2023-03-27;Corporate Desk
CUST0045;Bintou;Kouassi;F;1997-01-03;Senegal;Dakar;Business;None;2024-08-23;Web
CUST0046;Awa;Mensah;M;1979-02-19;Nigeria;Lagos;Business;Silver;2024-09-02;Corporate Desk
CUST0047;Serge;Kone;F;1983-12-20;Senegal;Dakar;Budget;Silver;2024-06-09;Corporate Desk
CUST0048;Serge;Sow;F;1998-09-19;Benin;Cotonou;Business;Explorer;2024-11-30;Mobile App
CUST0049;Awa;Konan;F;1988-02-13;Côte d'Ivoire;Bouaké;Standard;Explorer;2024-10-03;Mobile App
CUST0050;Fatou;Konan;M;1969-12-17;Nigeria;Lagos;Business;None;2024-04-30;Travel Agency
CUST0051;Fatou;Kouassi;F;1979-12-21;Côte d'Ivoire;Bouaké;Standard;Explorer;2024-05-05;Travel Agency
CUST0052;Didier;Kouassi;F;1974-06-09;Côte d'Ivoire;Yamoussoukro;Business;None;2024-08-04;Mobile App
CUST0053;Nadia;Konan;M;1982-11-04;Côte d'Ivoire;Yamoussoukro;Standard;Explorer;2024-06-12;Travel Agency
CUST0054;Nadia;Kone;F;2000-04-10;Nigeria;Lagos;Premium;None;2024-04-14;Web
CUST0055;Nadia;Mensah;M;1978-04-03;France;Paris;Budget;Explorer;2024-01-04;Mobile App
CUST0056;Aminata;Sow;M;1972-12-12;France;Paris;Standard;Gold;2024-02-08;Web
CUST0057;Awa;Kone;M;1990-05-24;Ghana;Accra;Standard;Explorer;2023-05-04;Travel Agency
CUST0058;Jean;Amani;M;1972-04-23;Côte d'Ivoire;Abidjan;Premium;None;2024-01-17;Web
CUST0059;Amadou;Ndiaye;F;1988-07-25;Nigeria;Lagos;Business;None;2023-02-22;Travel Agency
CUST0060;Mariam;Kouassi;M;1992-09-11;Benin;Cotonou;Business;Silver;2024-03-14;Web
CUST0061;Amadou;Sow;F;1970-01-24;Benin;Cotonou;Standard;Silver;2024-10-21;Travel Agency
CUST0062;Awa;Sow;F;1975-08-14;Nigeria;Lagos;Standard;None;2024-10-30;Travel Agency
CUST0063;Aminata;Kouassi;M;1995-09-22;Nigeria;Lagos;Budget;Explorer;2023-03-18;Mobile App
CUST0064;Nadia;Sow;F;1993-06-25;France;Paris;Standard;Explorer;2023-09-07;Web
CUST0065;Jean;Sow;F;1985-04-12;Ghana;Accra;Business;None;2023-01-21;Corporate Desk
CUST0066;Amadou;Sow;F;1989-05-11;Nigeria;Lagos;Standard;Explorer;2024-01-04;Mobile App
CUST0067;Bintou;Sow;F;1970-05-08;Benin;Cotonou;Standard;Explorer;2023-11-16;Web
